term,forms,tags
profile,"profile, profiled, profiles, profiling",3k
profit,"profit, nonprofit, profitability, profitable, profitably, profited, profiteer, profiteered, profiteering, profiteers, profiting, profitless, profits, unprofitability, unprofitable",3k
profound,"profound, profounder, profoundest, profoundly, profoundness, profundity",3k
prohibit,"prohibit, prohibited, prohibiting, prohibition, prohibitionist, prohibitionists, prohibitions, prohibitive, prohibitively, prohibitory, prohibits",3k
prominent,"prominent, prominently",3k
promote,"promote, promo, promos, promoted, promoter, promoters, promotes, promoting, promotion, promotional, promotions",3k
prompt,"prompt, prompted, prompting, promptings, promptly, prompts, unprompted",3k
proof,"proof, proofed, proofing, proofs",3k
proportion,"proportion, proportional, proportionality, proportionally, proportionate, proportionately, proportioned, proportions",3k
prosecute,"prosecute, prosecuted, prosecutes, prosecuting, prosecution, prosecutions, prosecutor, prosecutors",3k
prospect,"prospect, prospective, prospectively, prospects",3k
prosper,"prosper, prospered, prospering, prosperities, prosperity, prosperous, prosperously, prosperousness, prospers",3k
protein,"protein, proteins",3k
province,"province, provinces, provincial, provincialism, provincially",3k
provision,"provision, provisioning, provisions",3k
provoke,"provoke, provocation, provocations, provocative, provocatively, provocativeness, provoked, provokes, provoking, unprovoked",3k
psychiatry,"psychiatry, psychiatric, psychiatrics, psychiatrist, psychiatrists",3k
psychology,"psychology, psychological, psychologically, psychologies, psychologist, psychologists",3k
publication,"publication, publications",3k
publish,"publish, publishable, published, publisher, publishers, publishes, publishing, republish, republished, republishes, republishing, unpublished",3k
pupil,"pupil, pupils",3k
pursue,"pursue, pursued, pursuer, pursuers, pursues, pursuing",3k
puzzle,"puzzle, puzzled, puzzlement, puzzlements, puzzler, puzzlers, puzzles, puzzling",3k
quantity,"quantity, quantitative, quantitatively, quantities",3k
racial,"racial, interracial, interracially, intraracial, nonracial, racialisation, racialised, racialism, racialist, racialists, racialization, racialized, racially, racism, racist, racists",3k
radiate,"radiate, radiated, radiates, radiating, radiation, radiations, radiative",3k
radical,"radical, radicalism, radicalisms, radically, radicals",3k
rage,"rage, enrage, enraged, enrages, enraging, raged, rages, raging",3k
raid,"raid, raided, raider, raiders, raiding, raids",3k
rail,"rail, railed, railing, railings, rails",3k
rally,"rally, rallied, rallies, rallying",3k
random,"random, randomisation, randomisations, randomise, randomised, randomises, randomization, randomizations, randomize, randomized, randomizes, randomizing, randomly, randomness, randomising",3k
rank,"rank, ranked, ranking, rankings, ranks, unranked",3k
rape,"rape, raped, rapes, raping, rapist, rapists",3k
ratio,"ratio, ratios",3k
rational,"rational, irrational, irrationalities, irrationality, irrationally, rationalisation, rationalisations, rationalise, rationalised, rationalises, rationalising, rationalism, rationalist, rationalistic, rationalists, rationality, rationalization, rationalizations, rationalize, rationalized, rationalizes, rationalizing, rationally",3k
raw,"raw, rawer, rawest, rawness",3k
rear,"rear, reared, rearing, rears",3k
rebel,"rebel, rebelled, rebelling, rebellings, rebellion, rebellions, rebellious, rebelliously, rebelliousness, rebels",3k
receiver,"receiver, receivers, receivership, receiverships",3k
reception,"reception, receptionist, receptionists, receptions",3k
recession,"recession, recessional, recessionary, recessions",3k
recognition,"recognition, recognitions",3k
recruit,"recruit, recruited, recruiter, recruiters, recruiting, recruitment, recruits",3k
reflect,"reflect, reflectance, reflected, reflecting, reflection, reflections, reflective, reflectively, reflectiveness, reflects, unreflecting",3k
reform,"reform, reformation, reformative, reformatory, reformed, reformer, reformers, reforming, reformism, reformist, reformists, reforms, unreformed",3k
refuge,"refuge, refugee, refugees, refuges",3k
regime,"regime, regimes, régime",3k
regret,"regret, regretful, regretfully, regrets, regrettable, regrettably, regretted, regretting",3k
regulate,"regulate, regulated, regulates, regulating, regulation, regulations, regulator, regulators, regulatory, unregulated",3k
reinforce,"reinforce, reinforced, reinforcement, reinforcements, reinforcer, reinforcers, reinforces, reinforcing",3k
reject,"reject, rejected, rejecting, rejection, rejections, rejects",3k
relative,"relative, relatively, relativise, relativised, relativises, relativising, relativism, relativist, relativistic, relativists, relativize, relativized, relativizes, relativizing",3k
relatives,relatives,3k
relevant,"relevant, irrelevancies, irrelevancy, irrelevant, relevancy, relevantly",3k
relieve,"relieve, relieved, relieves, relieving",3k
religion,"religion, religions",3k
religious,"religious, irreligious, religiosity, religiously",3k
reluctant,"reluctant, reluctantly",3k
remedy,"remedy, remediable, remedial, remedially, remedied, remedies, remedying",3k
remote,"remote, remotely, remoteness, remoter, remotest",3k
render,"render, rendered, rendering, renderings, renders",3k
reproduce,"reproduce, reproduced, reproduces, reproducibility, reproducible, reproducing, reproduction, reproductions",3k
republic,"republic, republican, republicanism, republicans, republics",3k
reputation,"reputation, reputations",3k
request,"request, requested, requester, requesters, requesting, requests",3k
rescue,"rescue, rescued, rescuer, rescuers, rescues, rescuing",3k
resemble,"resemble, resemblance, resemblances, resembled, resembles, resembling",3k
reside,"reside, resided, residence, residences, residencies, residency, resident, residential, residents, resides, residing",3k
resign,"resign, resignation, resignations, resigned, resignedly, resigning, resigns",3k
resolution,"resolution, resolutions",3k
resolve,"resolve, resolved, resolves, resolving, unresolved",3k
resort,"resort, resorted, resorting, resorts",3k
resource,"resource, resourced, resourceful, resourcefulness, resources, resourcing, underresourced, unresourceful",3k
respective,"respective, irrespective, irrespectively, respectively",3k
respond,"respond, responded, respondent, respondents, responder, responders, responding, responds",3k
response,"response, responses, responsive, responsively, responsiveness, unresponsive",3k
restore,"restore, restoration, restorations, restorative, restored, restorer, restorers, restores, restoring, unrestored",3k
restrain,"restrain, restrained, restraining, restrains, restraint, restraints, unrestrained",3k
restrict,"restrict, restricted, restricting, restriction, restrictions, restrictive, restrictively, restricts, unrestricted, unrestrictive",3k
resume,"resume, resumed, resumes, resuming, resumption",3k
retail,"retail, retailed, retailer, retailers, retailing, retails",3k
retain,"retain, retained, retainer, retainers, retaining, retains",3k
retreat,"retreat, retreated, retreating, retreats",3k
reveal,"reveal, revealed, revealing, revealingly, reveals, revelation, revelations, unrevealed",3k
revenue,"revenue, revenues",3k
reverse,"reverse, irreversible, irreversibly, reversal, reversals, reversed, reverser, reversers, reverses, reversible, reversibly, reversing",3k
review,"review, reviewable, reviewed, reviewer, reviewers, reviewing, reviews",3k
revise,"revise, revised, reviser, revisers, revises, revising, revision, revisionary, revisionism, revisionist, revisionists, revisions, unrevised",3k
revive,"revive, revival, revivalist, revivals, revived, revives, reviving",3k
revolution,"revolution, revolutionaries, revolutionary, revolutionise, revolutionised, revolutionises, revolutionising, revolutionist, revolutionists, revolutionize, revolutionized, revolutionizes, revolutionizing, revolutions",3k
reward,"reward, rewarded, rewarding, rewards, unrewarded, unrewarding",3k
rhythm,"rhythm, rhythmic, rhythmical, rhythmically, rhythmics, rhythms",3k
ritual,"ritual, ritualisation, ritualised, ritualistic, ritualistically, ritualization, ritualized, ritually, rituals",3k
rival,"rival, rivalled, rivalling, rivalries, rivalry, rivals, unrivalled",3k
romantic,"romantic, romantically, romanticisation, romanticise, romanticised, romanticises, romanticising, romanticization, romanticize, romanticized, romanticizes, romanticizing, romantics, unromantic",3k
route,"route, routed, routes, routing",3k
routine,"routine, routinely, routines, subroutine, subroutines",3k
rumour,"rumour, rumor, rumored, rumoring, rumors, rumoured, rumouring, rumours",3k
rural,rural,3k
sacrifice,"sacrifice, sacrificed, sacrifices, sacrificial, sacrificing",3k
sample,"sample, sampled, samples, sampling",3k
sanction,"sanction, sanctioned, sanctioning, sanctions, unsanctioned",3k
satellite,"satellite, satellites",3k
satisfaction,"satisfaction, satisfactions",3k
scan,"scan, scanned, scanner, scanners, scanning, scans",3k
scandal,"scandal, scandalise, scandalised, scandalises, scandalising, scandalize, scandalized, scandalizes, scandalizing, scandalous, scandals",3k
scatter,"scatter, scattered, scattering, scatters",3k
scheme,"scheme, schematic, schematically, schemed, schemes, scheming, schemer, schemers",3k
scholar,"scholar, scholarly, scholars",3k
scope,"scope, scoped, scoping, scopes",3k
sculpt,"sculpt, sculpted, sculpting, sculptor, sculptors, sculpts, sculptural, sculpture, sculptured, sculptures, sculpturing",3k
secretary,"secretary, secretarial, secretaries, secretaryship",3k
sector,"sector, sectoral, sectors",3k
segment,"segment, segmental, segmentary, segmentation, segmentations, segmented, segmenting, segments",3k
seize,"seize, seized, seizes, seizing",3k
senate,"senate, senates",3k
senses,"senses, sensed, sensing, sensings",3k
sensible,"sensible, sensibilities, sensibility, sensibly",3k
sensitive,"sensitive, insensitive, insensitivity, sensitively, sensitivities, sensitivity, oversensitive, insensitively",3k
sequence,"sequence, sequenced, sequences, sequencing, sequential, sequentially, unsequenced",3k
session,"session, sessional, sessions",3k
severe,"severe, severely, severeness, severer, severest, severity",3k
shield,"shield, shielded, shielding, shields, unshielded",3k
shortly,shortly,3k
shrug,"shrug, shrugged, shrugging, shrugs",3k
sigh,"sigh, sighed, sighing, sighs",3k
significance,"significance, insignificance, significances",3k
significant,"significant, insignificant, insignificantly, significantly",3k
silent,"silent, silently",3k
silk,"silk, silken, silkier, silkiest, silkily, silkiness, silks, silky",3k
simultaneous,"simultaneous, simultaneity, simultaneously",3k
sin,"sin, sinful, sinfully, sinfulness, sinned, sinner, sinners, sinning, sins",3k
slice,"slice, sliced, slicer, slicers, slices, slicing, unsliced",3k
slope,"slope, sloped, slopes, sloping",3k
software,"software, softwares",3k
sole,"sole, solely",3k
solution,"solution, solutions",3k
solve,"solve, solved, solves, solving, unsolvable, unsolved",3k
sophisticated,"sophisticated, sophisticate, sophisticates, sophisticating, unsophisticated",3k
source,"source, sourced, sources, sourcing, unsourced",3k
sovereign,"sovereign, sovereigns, sovereignties, sovereignty",3k
specify,"specify, specifiable, specified, specifies, specifying, unspecified",3k
speculate,"speculate, speculated, speculates, speculating, speculation, speculations, speculative, speculatively, speculator, speculators",3k
spill,"spill, spillage, spillages, spilled, spilling, spills, spilt, unspilt",3k
sponsor,"sponsor, sponsored, sponsoring, sponsors, sponsorship, sponsorships",3k
squeeze,"squeeze, squeezed, squeezes, squeezing",3k
stain,"stain, stained, staining, stainless, stains, unstained",3k
stake,"stake, staked, stakes, staking",3k
statistic,"statistic, statistical, statistically, statistician, statisticians, statistics",3k
status,"status, statuses",3k
statute,"statute, statutes, statutorily, statutory",3k
stem,"stem, stemmed, stemming, stems",3k
stimulate,"stimulate, stimulated, stimulates, stimulating, stimulation, stimulations, stimulatory",3k
strain,"strain, strained, strainer, strainers, straining, strains",3k
strategy,"strategy, strategic, strategically, strategies, strategist, strategists",3k
strict,"strict, stricter, strictest, strictly, strictness",3k
structure,"structure, poststructuralism, poststructuralist, restructure, restructured, restructures, restructuring, structural, structuralism, structuralisms, structuralist, structuralists, structurally, structured, structures, structuring, unstructured",3k
studio,"studio, studios",3k
stun,"stun, stunned, stunner, stunners, stunning, stunningly, stuns",3k
submit,"submit, submits, submitted, submitting",3k
subsequent,"subsequent, subsequently",3k
subsidy,"subsidy, subsidies, subsidise, subsidised, subsidises, subsidising, subsidize, subsidized, subsidizes, subsidizing",3k
substance,"substance, substances",3k
substantial,"substantial, insubstantial, insubstantially, substantiality, substantially",3k
substitute,"substitute, substituted, substitutes, substituting, substitution, substitutions",3k
subtle,"subtle, subtleness, subtler, subtlest, subtly, unsubtle",3k
suburb,"suburb, suburban, suburbanisation, suburbanite, suburbanites, suburbanization, suburbs",3k
succeed,"succeed, succeeded, succeeding, succeeds",3k
succession,"succession, successions, successive, successively, successor, successors",3k
sufficient,"sufficient, insufficient, insufficiently, sufficiently",3k
suicide,"suicide, suicidal, suicidally, suicides",3k
sum,"sum, summed, summing, sums",3k
summary,"summary, summaries, summarily, summarisation, summarisations, summarise, summarised, summarises, summarising, summarization, summarizations, summarize, summarized, summarizes, summarizing",3k
summit,"summit, summits",3k
superior,"superior, superiority, superiors",3k
supervise,"supervise, supervised, supervises, supervising, supervision, supervisor, supervisors, supervisory, unsupervised",3k
supplement,"supplement, supplemental, supplementary, supplementation, supplemented, supplementing, supplements",3k
supreme,"supreme, supremely",3k
surgery,"surgery, surgeries",3k
survey,"survey, surveyed, surveying, surveyor, surveyors, surveys, unsurveyed",3k
suspend,"suspend, suspended, suspender, suspenders, suspending, suspends, suspension, suspensions",3k
sustain,"sustain, sustainability, sustainable, sustained, sustaining, sustains, unsustainable",3k
sweat,"sweat, sweated, sweatier, sweatiest, sweating, sweats, sweaty",3k
swell,"swell, swelled, swelling, swellings, swells, swollen",3k
symbol,"symbol, symbolic, symbolical, symbolically, symbolise, symbolised, symbolises, symbolising, symbolism, symbolize, symbolized, symbolizes, symbolizing, symbols",3k
sympathy,"sympathy, sympathetic, sympathetically, sympatheticly, sympathies, sympathise, sympathised, sympathiser, sympathisers, sympathises, sympathising, sympathize, sympathized, sympathizer, sympathizers, sympathizes, sympathizing, unsympathetic, unsympathetically",3k
symptom,"symptom, symptomatic, symptomatically, symptoms",3k
tackle,"tackle, tackled, tackles, tackling, tackler, tacklers",3k
tactic,"tactic, tactical, tactically, tactics",3k
talent,"talent, talented, talents, untalented",3k
target,"target, targeted, targeting, targets, targetted, targetting",3k
task,"task, tasked, tasking, tasks",3k
technical,"technical, technically",3k
technique,"technique, techniques",3k
temperature,"temperature, temperatures",3k
temporary,"temporary, temp, temporarily, temps",3k
tender,"tender, tenderly, tenderness",3k
tennis,tennis,3k
territory,"territory, territorial, territoriality, territorially, territories",3k
terror,"terror, terrorise, terrorised, terrorising, terrorism, terrorist, terrorists, terrorize, terrorized, terrorizing, terrors",3k
text,"text, subtext, subtexts, texts, textual, textualism, textuality, textualized",3k
theme,"theme, thematic, thematically, themed, themes",3k
theoretical,"theoretical, theoretic, theoretically, theoretician, theoreticians",3k
theory,"theory, theories, theorist, theorists",3k
therapy,"therapy, therapies, therapist, therapists",3k
thereby,thereby,3k
thorough,"thorough, thoroughly, thoroughness",3k
thrill,"thrill, thrilled, thriller, thrillers, thrilling, thrills",3k
tissue,"tissue, tissues",3k
ton,"ton, tonnage, tonnages, tonne, tonner, tonners, tonnes, tons",3k
toss,"toss, tossed, tosses, tossing",3k
tournament,"tournament, tournaments",3k
tragedy,"tragedy, tragedian, tragedians, tragedies",3k
trail,"trail, trailed, trailing, trails",3k
transact,"transact, transacted, transacting, transaction, transactions, transactional, transacts",3k
transform,"transform, transformation, transformational, transformations, transformed, transformer, transformers, transforming, transforms",3k
transition,"transition, transitional, transitionally, transitions",3k
translate,"translate, translatable, translated, translates, translating, translation, translations, translator, translators, untranslatable, untranslated",3k
transmit,"transmit, transmissible, transmission, transmissions, transmits, transmittal, transmitted, transmitter, transmitters, transmitting",3k
transport,"transport, transportable, transportation, transported, transporter, transporters, transporting, transports",3k
treasure,"treasure, treasured, treasurer, treasurers, treasures, treasuries, treasuring, treasury",3k
treaty,"treaty, treaties",3k
tremendous,"tremendous, tremendously",3k
trend,"trend, trended, trending, trends",3k
tribe,"tribe, tribal, tribalism, tribes",3k
trigger,"trigger, triggered, triggering, triggers",3k
triumph,"triumph, triumphal, triumphalism, triumphalist, triumphalists, triumphant, triumphantly, triumphed, triumphing, triumphs",3k
troop,"troop, trooped, trooping, troops",3k
tube,"tube, tubed, tubes, tubing",3k
tunnel,"tunnel, tunnelled, tunnelling, tunnellings, tunnels",3k
ultimate,"ultimate, ultimately",3k
undergo,"undergo, undergoes, undergoing, undergone, underwent",3k
underlie,"underlie, underlain, underlay, underlies, underly, underlying",3k
undertake,"undertake, undertaken, undertakes, undertaking, undertakings, undertook",3k
uniform,"uniform, uniformed, uniformity, uniformly, uniforms",3k
unique,"unique, uniquely, uniqueness",3k
unity,"unity, unities",3k
universe,"universe, universal, universalisation, universalise, universalised, universalises, universalising, universalism, universalist, universalistic, universalists, universality, universalization, universalize, universalized, universalizes, universalizing, universally, universals, universes",3k
update,"update, updated, updates, updating, updatings",3k
urban,"urban, urbanisation, urbanise, urbanised, urbanist, urbanists, urbanization, urbanize, urbanized",3k
urge,"urge, urged, urges, urging, urgings",3k
urgent,"urgent, nonurgent, urgency, urgently",3k
utility,"utility, utilities",3k
vague,"vague, vaguely, vagueness, vaguer, vaguest",3k
valid,"valid, invalidity, validity, validly",3k
variety,"variety, varietal, varieties",3k
vast,"vast, vaster, vastly, vastness",3k
venture,"venture, ventured, ventures, venturing, venturous",3k
versus,"versus, vs",3k
vessel,"vessel, vessels",3k
veteran,"veteran, veterans",3k
via,via,3k
vice,"vice, vices",3k
victory,"victory, victories, victorious",3k
violate,"violate, violated, violates, violating, violation, violations, violator, violators",3k
violence,"violence, nonviolence",3k
virtual,"virtual, virtually",3k
virtue,"virtue, virtues, virtuous, virtuously",3k
virus,"virus, viruses",3k
visible,"visible, invisibility, invisible, invisibly, visibility, visibly",3k
vision,"vision, visionaries, visionary, visions",3k
visual,"visual, visualisation, visualise, visualised, visualising, visualization, visualize, visualized, visualizing, visually, visuals",3k
vital,"vital, vitally, vitals",3k
volume,"volume, vol, vols, volumes",3k
voluntary,"voluntary, voluntarily, voluntariness, voluntaristic",3k
volunteer,"volunteer, volunteered, volunteering, volunteerism, volunteers",3k
vulnerable,"vulnerable, invulnerability, invulnerable, vulnerabilities, vulnerability, vulnerably",3k
wealth,"wealth, wealthier, wealthiest, wealthiness, wealthy",3k
weave,"weave, weaved, weaver, weavers, weaves, weaving, wove, woven",3k
weigh,"weigh, unweighed, weighed, weigher, weighers, weighing, weighs",3k
welfare,welfare,3k
whisper,"whisper, whispered, whisperer, whisperers, whispering, whispers",3k
withdraw,"withdraw, withdrawal, withdrawals, withdrawing, withdrawn, withdraws, withdrew",3k
yield,"yield, unyielding, yielded, yielding, yields",3k
youth,"youth, youthful, youthfully, youthfulness, youths",3k
zone,"zone, zonal, zoned, zones, zoning",3k
abnormal,"abnormal, abnormalities, abnormality, abnormally",4k
aboard,aboard,4k
abrupt,"abrupt, abrupter, abruptest, abruptly, abruptness",4k
absent,"absent, absented, absentee, absenteeism, absentees, absenting, absently, absents",4k
absurd,"absurd, absurder, absurdest, absurdities, absurdity, absurdly, absurdness",4k
abundant,"abundant, abundance, abundances, abundantly",4k
accountant,"accountant, accountancy, accountants",4k
accustom,"accustom, accustomed, accustoming, accustoms, unaccustomed",4k
acid,"acid, acidic, acidity, acidly, acids",4k
acquaint,"acquaint, acquaintance, acquaintances, acquaintanceship, acquaintanceships, acquainted, acquainting, acquaints, unacquainted",4k
activate,"activate, activated, activates, activating, activation, activator, activators, inactivation, reactivate, reactivated, reactivates, reactivating, reactivation, reactivations, unactivated",4k
acute,"acute, acutely, acuteness, acutes",4k
adhere,"adhere, adhered, adherence, adherences, adherent, adherents, adheres, adhering",4k
adjacent,"adjacent, adjacently, nonadjacent",4k
administer,"administer, administered, administering, administers",4k
adverse,"adverse, adversely, adverseness, adversities, adversity",4k
aesthetic,"aesthetic, aesthetically, aestheticism, aesthetics, unaesthetic",4k
affiliate,"affiliate, affiliated, affiliates, affiliating, affiliation, affiliations, unaffiliated",4k
aggression,aggression,4k
agony,"agony, agonies, agonise, agonised, agonises, agonising, agonisingly, agonize, agonized, agonizes, agonizing, agonizingly",4k
align,"align, aligned, aligner, aligners, aligning, alignment, alignments, aligns",4k
alike,"alike, alikes",4k
alley,"alley, alleys, alleyway, alleyways",4k
alpha,"alpha, alphas",4k
alternate,"alternate, alternated, alternately, alternates, alternating, alternation, alternations, alternator, alternators",4k
aluminium,"aluminium, aluminum",4k
amateur,"amateur, amateurish, amateurishly, amateurishness, amateurism, amateurs",4k
ambassador,"ambassador, ambassadorial, ambassadors, ambassadorship, ambassadorships",4k
ambiguous,"ambiguous, ambiguously, unambiguous, unambiguously",4k
ambition,"ambition, ambitions",4k
ambitious,"ambitious, ambitiously, unambitious",4k
ambulance,"ambulance, ambulances",4k
amid,amid,4k
ancestor,"ancestor, ancestors, ancestral",4k
anchor,"anchor, anchorage, anchorages, anchored, anchoring, anchors, unanchored",4k
animate,"animate, animated, animatedly, animates, animating, animation, animations, inanimate, animator, animators",4k
ankle,"ankle, ankles",4k
anniversary,"anniversary, anniversaries",4k
anonymous,"anonymous, anonymously",4k
anthropology,"anthropology, anthropological, anthropologically, anthropologies, anthropologist, anthropologists",4k
antique,"antique, antiques",4k
applicable,"applicable, applicability, inapplicable",4k
applicant,"applicant, applicants",4k
appraise,"appraise, appraisal, appraisals, appraised, appraiser, appraisers, appraises, appraising, appraisingly, reappraisal, reappraisals, reappraise, reappraised, reappraises, reappraising",4k
arch,"arch, arched, arches, arching",4k
archive,"archive, archival, archived, archives, archiving, archivist, archivists",4k
arena,"arena, arenas",4k
armour,"armour, armor, armored, armorer, armorers, armoured, armourer, armourers, armours",4k
arouse,"arouse, arousal, aroused, arouses, arousing, unaroused",4k
array,"array, arrayed, arraying, arrays",4k
arrogant,"arrogant, arrogance, arrogantly",4k
arrow,"arrow, arrowed, arrowing, arrows",4k
articulate,"articulate, articulated, articulates, articulating, articulation, articulations, articulatory",4k
artificial,"artificial, artificiality, artificially",4k
ash,"ash, ashen, ashes, ashy",4k
aspire,"aspire, aspirant, aspirants, aspirate, aspirated, aspirates, aspirating, aspiration, aspirations, aspired, aspires, aspiring",4k
assassin,"assassin, assassinate, assassinated, assassinates, assassinating, assassination, assassinations, assassins",4k
astonish,"astonish, astonished, astonishes, astonishing, astonishingly, astonishment, astonishments",4k
astronomy,"astronomy, astronomer, astronomers",4k
attain,"attain, attainable, attained, attaining, attainment, attainments, attains, unattainable",4k
attorney,"attorney, attorneys",4k
auction,"auction, auctioned, auctioneer, auctioneers, auctioning, auctions",4k
audio,audio,4k
authentic,"authentic, authentically, authenticate, authenticated, authenticates, authenticating, authentication, authentications, authenticities, authenticity, inauthentic, unauthentic",4k
automobile,"automobile, auto, automobiles, autos",4k
autonomy,"autonomy, autonomies",4k
avenue,"avenue, avenues",4k
await,"await, awaited, awaiting, awaits",4k
axe,"axe, ax, axed, axes, axing",4k
aye,"aye, ay, ayes, ays",4k
ballet,"ballet, ballets",4k
balloon,"balloon, ballooned, ballooner, ballooners, ballooning, balloons",4k
ballot,"ballot, balloted, balloting, ballots",4k
bankrupt,"bankrupt, bankruptcies, bankruptcy, bankrupted, bankrupting, bankrupts",4k
barn,"barn, barns",4k
barrel,"barrel, barrels",4k
baseball,"baseball, baseballs",4k
basement,"basement, basements",4k
basin,"basin, basins",4k
bass,"bass, basses, bassist, bassists",4k
bastard,"bastard, bastardise, bastardised, bastardises, bastardising, bastardize, bastardized, bastardizes, bastardizing, bastards, bastardy",4k
bathe,"bathe, bathed, bather, bathers, bathes, bathing",4k
battered,"battered, battering",4k
bead,"bead, beaded, beadier, beadiest, beading, beads, beady",4k
beard,"beard, bearded, beardless, beards",4k
beast,"beast, beastie, beasties, beastly, beastliness, beasts",4k
behalf,behalf,4k
belly,"belly, bellied, bellies, bellying",4k
beneficial,"beneficial, beneficially",4k
betray,"betray, betrayal, betrayals, betrayed, betrayer, betrayers, betraying, betrays",4k
bicycle,"bicycle, bicycled, bicycles, bicycling, bicyclist, bicyclists",4k
biography,"biography, biographic, biographical, biographically, biographies",4k
biology,"biology, biologies, biologist, biologists",4k
bizarre,"bizarre, bizarrely, bizarreness",4k
blade,"blade, bladed, blades",4k
blaze,"blaze, blazed, blazes, blazing",4k
blink,"blink, blinked, blinking, blinks, unblinking, unblinkingly",4k
blur,"blur, blurred, blurring, blurry, blurs",4k
boarder,"boarder, boarded, boarders, boarding",4k
boast,"boast, boasted, boastful, boastfulness, boasting, boasts",4k
bold,"bold, bolder, boldest, boldly, boldness",4k
bolt,"bolt, bolted, bolter, bolters, bolting, bolts",4k
bonus,"bonus, bonuses",4k
booking,"booking, booked, bookings",4k
bounds,"bounds, bounded, bounding, boundless, boundlessly, unbounded",4k
boxed,"boxed, boxer, boxers, boxing",4k
brass,"brass, brasses, brassy",4k
breach,"breach, breached, breaches, breaching",4k
breeze,"breeze, breezed, breezes, breezily, breezing, breezy",4k
brew,"brew, brewed, brewer, breweries, brewers, brewery, brewing, brewings, brews",4k
bride,"bride, bridal, brides",4k
briefed,"briefed, briefing, briefings",4k
broker,"broker, brokerage, brokerages, brokered, brokers, broking",4k
bronze,"bronze, bronzed, bronzes",4k
bruise,"bruise, bruised, bruises, bruising, bruisings",4k
brute,"brute, brutal, brutalisation, brutalise, brutalised, brutalises, brutalising, brutalities, brutality, brutalization, brutalize, brutalized, brutalizes, brutalizing, brutally, brutes, brutish",4k
bubble,"bubble, bubbled, bubbles, bubbling, bubbly",4k
bulb,"bulb, bulbous, bulbs",4k
bulk,"bulk, bulkier, bulkiest, bulkiness, bulky",4k
bull,"bull, bullish, bulls",4k
bullet,"bullet, bullets",4k
bully,"bully, bullied, bullies, bullying",4k
bundle,"bundle, bundled, bundles, bundling",4k
bureaucracy,"bureaucracy, bureaucracies",4k
bureaucrat,"bureaucrat, bureaucratic, bureaucratically, bureaucratization, bureaucratize, bureaucratized, bureaucratizes, bureaucratizing, bureaucrats",4k
bush,"bush, bushes, bushy",4k
butterfly,"butterfly, butterflies",4k
buzz,"buzz, buzzed, buzzer, buzzers, buzzes, buzzing, buzzy",4k
cab,"cab, cabs",4k
cabin,"cabin, cabins",4k
cafe,"cafe, cafes, café, cafés",4k
calendar,"calendar, calendars, calender, calenders",4k
calorie,"calorie, calories, calory",4k
campus,"campus, campuses",4k
canal,"canal, canals",4k
candle,"candle, candles",4k
canvas,"canvas, canvases",4k
capitalism,capitalism,4k
capitalist,"capitalist, capitalistic, capitalists",4k
cargo,"cargo, cargoes",4k
carriage,"carriage, carriages",4k
cartoon,"cartoon, cartoonist, cartoonists, cartoons",4k
casualty,"casualty, casualties",4k
cater,"cater, catered, caterer, caterers, catering, caters",4k
cathedral,"cathedral, cathedrals",4k
caution,"caution, cautionary, cautioned, cautioning, cautions",4k
cautious,"cautious, cautiously, cautiousness, incautious",4k
cave,"cave, caved, caves, caving",4k
celebrity,"celebrity, celebrities",4k
cemetery,"cemetery, cemeteries",4k
censor,"censor, censored, censoring, censorious, censoriously, censoriousness, censors, censorship, censorships",4k
census,"census, censuses",4k
certificate,"certificate, certificated, certificates, uncertificated, certification, certifications",4k
certify,"certify, certified, certifies, certifying, certifiable",4k
champagne,"champagne, champagnes",4k
chancellor,"chancellor, chancellors, chancellorship, chancellorships",4k
chaos,chaos,4k
chapel,"chapel, chapels",4k
chef,"chef, chefs",4k
chemistry,chemistry,4k
chin,"chin, chinless, chins",4k
choir,"choir, choirboy, choirboys, choirs",4k
choke,"choke, choked, choker, chokers, chokes, choking",4k
cholesterol,cholesterol,4k
chronic,"chronic, chronics, chronically",4k
chronicle,"chronicle, chronicled, chronicler, chroniclers, chronicles, chronicling",4k
chunk,"chunk, chunkier, chunkiest, chunkiness, chunks, chunky",4k
cinema,"cinema, cinemas, cinematic",4k
civic,"civic, civics",4k
clash,"clash, clashed, clashes, clashing",4k
classification,"classification, classifications, reclassificiations, reclassification",4k
classify,"classify, classified, classifies, classifying, reclassified, reclassifies, reclassify, reclassifying, unclassified",4k
clay,"clay, clays, clayey",4k
clerk,"clerk, clerkish, clerks",4k
click,"click, clicked, clicker, clickers, clicking, clicks",4k
cling,"cling, clinging, clings, clingy, clung",4k
clone,"clone, cloned, cloner, cloners, clones, cloning",4k
closure,"closure, closures",4k
clutch,"clutch, clutched, clutches, clutching",4k
coffin,"coffin, coffins",4k
cognitive,"cognitive, cognitively, cognitivist, cognitivists",4k
coherent,"coherent, cohere, cohered, coherently, coheres, cohering, incoherent, incoherently",4k
collar,"collar, collared, collaring, collarless, collars",4k
colonel,"colonel, colonels",4k
comic,"comic, comical, comicalities, comicality, comically, comics",4k
commentator,"commentator, commentate, commentated, commentating, commentators",4k
commodity,"commodity, commodities",4k
commute,"commute, commuted, commuter, commuters, commutes, commuting",4k
compact,"compact, compacted, compacting, compaction, compactly, compactness, compacts",4k
comparative,"comparative, comparatively",4k
