language,term,translation,parent,tags
English,insincerity,sincere,,4k
English,sincerely,sincere,,4k
English,sincerity,sincere,,4k
English,sip,,,4k
English,sipped,sip,,4k
English,sipper,sip,,4k
English,sippers,sip,,4k
English,sipping,sip,,4k
English,sips,sip,,4k
English,sketch,,,4k
English,sketched,sketch,,4k
English,sketches,sketch,,4k
English,sketching,sketch,,4k
English,skip,,,4k
English,skipped,skip,,4k
English,skipping,skip,,4k
English,skips,skip,,4k
English,skull,,,4k
English,skulls,skull,,4k
English,slam,,,4k
English,slammed,slam,,4k
English,slammer,slam,,4k
English,slammers,slam,,4k
English,slamming,slam,,4k
English,slams,slam,,4k
English,slap,,,4k
English,slapped,slap,,4k
English,slapping,slap,,4k
English,slaps,slap,,4k
English,sleeve,,,4k
English,sleeved,sleeve,,4k
English,sleeveless,sleeve,,4k
English,sleeves,sleeve,,4k
English,slim,,,4k
English,slimly,slim,,4k
English,slimmed,slim,,4k
English,slimmer,slim,,4k
English,slimmers,slim,,4k
English,slimmest,slim,,4k
English,slimming,slim,,4k
English,slimmings,slim,,4k
English,slimness,slim,,4k
English,slims,slim,,4k
English,slot,,,4k
English,slots,slot,,4k
English,slotted,slot,,4k
English,slotting,slot,,4k
English,slump,,,4k
English,slumped,slump,,4k
English,slumping,slump,,4k
English,slumps,slump,,4k
English,snatch,,,4k
English,snatched,snatch,,4k
English,snatcher,snatch,,4k
English,snatchers,snatch,,4k
English,snatches,snatch,,4k
English,snatching,snatch,,4k
English,soak,,,4k
English,soaked,soak,,4k
English,soaking,soak,,4k
English,soaks,soak,,4k
English,soap,,,4k
English,soapier,soap,,4k
English,soapiest,soap,,4k
English,soapiness,soap,,4k
English,soaps,soap,,4k
English,soapy,soap,,4k
English,soar,,,4k
English,soared,soar,,4k
English,soaring,soar,,4k
English,soars,soar,,4k
English,soccer,,,4k
English,soccers,soccer,,4k
English,socialist,,,4k
English,socialists,socialist,,4k
English,sociology,,,4k
English,sociological,sociology,,4k
English,sociologically,sociology,,4k
English,sociologies,sociology,,4k
English,sociologist,sociology,,4k
English,sociologists,sociology,,4k
English,sodium,,,4k
English,sodiums,sodium,,4k
English,solar,,,4k
English,solo,,,4k
English,soloed,solo,,4k
English,soloing,solo,,4k
English,soloist,solo,,4k
English,soloists,solo,,4k
English,solos,solo,,4k
English,span,,,4k
English,spanned,span,,4k
English,spanning,span,,4k
English,spans,span,,4k
English,spark,,,4k
English,sparked,spark,,4k
English,sparking,spark,,4k
English,sparks,spark,,4k
English,sparky,spark,,4k
English,sparkle,,,4k
English,sparkled,sparkle,,4k
English,sparkler,sparkle,,4k
English,sparklers,sparkle,,4k
English,sparkles,sparkle,,4k
English,sparkling,sparkle,,4k
English,sparkly,sparkle,,4k
English,spatial,,,4k
English,spatially,spatial,,4k
English,specimen,,,4k
English,specimens,specimen,,4k
English,spectacle,,,4k
English,spec,spectacle,,4k
English,specs,spectacle,,4k
English,spectacles,spectacle,,4k
English,spectacular,,,4k
English,spectacularly,spectacular,,4k
English,unspectacular,spectacular,,4k
English,spectrum,,,4k
English,spectrums,spectrum,,4k
English,sphere,,,4k
English,spheres,sphere,,4k
English,spherical,sphere,,4k
English,spherically,sphere,,4k
English,spice,,,4k
English,spiced,spice,,4k
English,spices,spice,,4k
English,spicier,spice,,4k
English,spiciest,spice,,4k
English,spicily,spice,,4k
English,spiciness,spice,,4k
English,spicing,spice,,4k
English,spicy,spice,,4k
English,spike,,,4k
English,spiked,spike,,4k
English,spikes,spike,,4k
English,spikey,spike,,4k
English,spikier,spike,,4k
English,spikiest,spike,,4k
English,spikiness,spike,,4k
English,spiking,spike,,4k
English,spiky,spike,,4k
English,spine,,,4k
English,spinal,spine,,4k
English,spinally,spine,,4k
English,spineless,spine,,4k
English,spinelessly,spine,,4k
English,spinelessness,spine,,4k
English,spines,spine,,4k
English,spiny,spine,,4k
English,spit,,,4k
English,spat,spit,,4k
English,spits,spit,,4k
English,spitter,spit,,4k
English,spitters,spit,,4k
English,spitting,spit,,4k
English,splash,,,4k
English,splashed,splash,,4k
English,splashes,splash,,4k
English,splashing,splash,,4k
English,spontaneous,,,4k
English,spontaneously,spontaneous,,4k
English,spoon,,,4k
English,spooned,spoon,,4k
English,spoonful,spoon,,4k
English,spoonfuls,spoon,,4k
English,spooning,spoon,,4k
English,spoons,spoon,,4k
English,spoonsful,spoon,,4k
English,spouse,,,4k
English,spouses,spouse,,4k
English,spur,,,4k
English,spurred,spur,,4k
English,spurring,spur,,4k
English,spurs,spur,,4k
English,spy,,,4k
English,counterspies,spy,,4k
English,counterspy,spy,,4k
English,spied,spy,,4k
English,spies,spy,,4k
English,spying,spy,,4k
English,squad,,,4k
English,squaddie,squad,,4k
English,squaddies,squad,,4k
English,squaddy,squad,,4k
English,squads,squad,,4k
English,stab,,,4k
English,stabbed,stab,,4k
English,stabbing,stab,,4k
English,stabbings,stab,,4k
English,stabs,stab,,4k
English,stack,,,4k
English,stacked,stack,,4k
English,stacking,stack,,4k
English,stacks,stack,,4k
English,unstacked,stack,,4k
English,stadium,,,4k
English,stadia,stadium,,4k
English,stadiums,stadium,,4k
English,stagger,,,4k
English,staggered,stagger,,4k
English,staggering,stagger,,4k
English,staggeringly,stagger,,4k
English,staggers,stagger,,4k
English,stall,,,4k
English,stalled,stall,,4k
English,stalling,stall,,4k
English,stalls,stall,,4k
English,stance,,,4k
English,stances,stance,,4k
English,startle,,,4k
English,startled,startle,,4k
English,startles,startle,,4k
English,startling,startle,,4k
English,startlingly,startle,,4k
English,statue,,,4k
English,statuaries,statue,,4k
English,statuary,statue,,4k
English,statues,statue,,4k
English,statuesque,statue,,4k
English,statuette,statue,,4k
English,statuettes,statue,,4k
English,steep,,,4k
English,steeper,steep,,4k
English,steepest,steep,,4k
English,steeply,steep,,4k
English,steepness,steep,,4k
English,steer,,,4k
English,steered,steer,,4k
English,steering,steer,,4k
English,steers,steer,,4k
English,stereotype,,,4k
English,stereotyped,stereotype,,4k
English,stereotypes,stereotype,,4k
English,stereotypical,stereotype,,4k
English,stereotypically,stereotype,,4k
English,stereotyping,stereotype,,4k
English,stern,,,4k
English,sterner,stern,,4k
English,sternest,stern,,4k
English,sternly,stern,,4k
English,sternness,stern,,4k
English,stimulus,,,4k
English,stimuli,stimulus,,4k
English,sting,,,4k
English,stinger,sting,,4k
English,stingers,sting,,4k
English,stinging,sting,,4k
English,stings,sting,,4k
English,stung,sting,,4k
English,stitch,,,4k
English,stitched,stitch,,4k
English,stitchery,stitch,,4k
English,stitches,stitch,,4k
English,stitching,stitch,,4k
English,straightforward,,,4k
English,straightforwardly,straightforward,,4k
English,straightforwardness,straightforward,,4k
English,strand,,,4k
English,strands,strand,,4k
English,strap,,,4k
English,strapless,strap,,4k
English,strapped,strap,,4k
English,strapping,strap,,4k
English,straps,strap,,4k
English,unstrap,strap,,4k
English,unstrapped,strap,,4k
English,unstrapping,strap,,4k
English,unstraps,strap,,4k
English,straw,,,4k
English,straws,straw,,4k
English,streak,,,4k
English,streaked,streak,,4k
English,streakier,streak,,4k
English,streakiest,streak,,4k
English,streaking,streak,,4k
English,streaks,streak,,4k
English,streaky,streak,,4k
English,stride,,,4k
English,strides,stride,,4k
English,striding,stride,,4k
English,strode,stride,,4k
English,stripe,,,4k
English,striped,stripe,,4k
English,stripes,stripe,,4k
English,stripey,stripe,,4k
English,striping,stripe,,4k
English,stripy,stripe,,4k
English,stroll,,,4k
English,strolled,stroll,,4k
English,stroller,stroll,,4k
English,strollers,stroll,,4k
English,strolling,stroll,,4k
English,strolls,stroll,,4k
English,stuffed,,,4k
English,stuffing,stuffed,,4k
English,stuffs,stuffed,,4k
English,overstuffed,stuffed,,4k
English,stumble,,,4k
English,stumbled,stumble,,4k
English,stumbler,stumble,,4k
English,stumblers,stumble,,4k
English,stumbles,stumble,,4k
English,stumbling,stumble,,4k
English,subjected,,,4k
English,subjecting,subjected,,4k
English,subjection,subjected,,4k
English,subjective,,,4k
English,subjectively,subjective,,4k
English,subjectivism,subjective,,4k
English,subjectivities,subjective,,4k
English,subjectivity,subjective,,4k
English,subordinate,,,4k
English,insubordinate,subordinate,,4k
English,insubordination,subordinate,,4k
English,subordinated,subordinate,,4k
English,subordinates,subordinate,,4k
English,subordinating,subordinate,,4k
English,subordination,subordinate,,4k
English,subscribe,,,4k
English,subscribed,subscribe,,4k
English,subscriber,subscribe,,4k
English,subscribers,subscribe,,4k
English,subscribes,subscribe,,4k
English,subscribing,subscribe,,4k
English,subscription,subscribe,,4k
English,subscriptions,subscribe,,4k
English,subsidiary,,,4k
English,subsidiaries,subsidiary,,4k
English,subsidiarity,subsidiary,,4k
English,sued,,,4k
English,sues,sued,,4k
English,suing,sued,,4k
English,suite,,,4k
English,suites,suite,,4k
English,summon,,,4k
English,summoned,summon,,4k
English,summoning,summon,,4k
English,summons,summon,,4k
English,summonsed,summon,,4k
English,summonses,summon,,4k
English,summonsing,summon,,4k
English,superb,,,4k
English,superbly,superb,,4k
English,supper,,,4k
English,suppers,supper,,4k
English,suppress,,,4k
English,suppressed,suppress,,4k
English,suppresses,suppress,,4k
English,suppressing,suppress,,4k
English,suppression,suppress,,4k
English,suppressor,suppress,,4k
English,suppressors,suppress,,4k
English,surge,,,4k
English,surged,surge,,4k
English,surges,surge,,4k
English,surging,surge,,4k
English,surgeon,,,4k
English,surgeons,surgeon,,4k
English,surplus,,,4k
English,surpluses,surplus,,4k
English,surrender,,,4k
English,surrendered,surrender,,4k
English,surrendering,surrender,,4k
English,surrenders,surrender,,4k
English,swift,,,4k
English,swifter,swift,,4k
English,swiftest,swift,,4k
English,swiftly,swift,,4k
English,swiftness,swift,,4k
English,syndrome,,,4k
English,syndromes,syndrome,,4k
English,synthesis,,,4k
English,synth,synthesis,,4k
English,syntheses,synthesis,,4k
English,synthesise,synthesis,,4k
English,synthesised,synthesis,,4k
English,synthesiser,synthesis,,4k
English,synthesisers,synthesis,,4k
English,synthesises,synthesis,,4k
English,synthesising,synthesis,,4k
English,synthesize,synthesis,,4k
English,synthesized,synthesis,,4k
English,synthesizer,synthesis,,4k
English,synthesizers,synthesis,,4k
English,synthesizes,synthesis,,4k
English,synthesizing,synthesis,,4k
English,synths,synthesis,,4k
English,tablespoon,,,4k
English,tablesp,tablespoon,,4k
English,tablespoonful,tablespoon,,4k
English,tablespoonfuls,tablespoon,,4k
English,tablespoons,tablespoon,,4k
English,tbsp,tablespoon,,4k
English,tbsps,tablespoon,,4k
English,tag,,,4k
English,tagged,tag,,4k
English,tagging,tag,,4k
English,tags,tag,,4k
English,untagged,tag,,4k
English,tangle,,,4k
English,entangle,tangle,,4k
English,entangled,tangle,,4k
English,entanglement,tangle,,4k
English,entanglements,tangle,,4k
English,entangles,tangle,,4k
English,entangling,tangle,,4k
English,tangled,tangle,,4k
English,tangles,tangle,,4k
English,tangling,tangle,,4k
English,untangle,tangle,,4k
English,untangled,tangle,,4k
English,untangles,tangle,,4k
English,untangling,tangle,,4k
English,telecom,,,4k
English,telecommunication,telecom,,4k
English,telecommunications,telecom,,4k
English,telecoms,telecom,,4k
English,telescope,,,4k
English,telescoped,telescope,,4k
English,telescopes,telescope,,4k
English,telescopic,telescope,,4k
English,telescoping,telescope,,4k
English,temple,,,4k
English,temples,temple,,4k
English,tenant,,,4k
English,subtenancy,tenant,,4k
English,subtenant,tenant,,4k
English,subtenants,tenant,,4k
English,tenancies,tenant,,4k
English,tenancy,tenant,,4k
English,tenanted,tenant,,4k
English,tenants,tenant,,4k
English,terminal,,,4k
English,terminally,terminal,,4k
English,terminals,terminal,,4k
English,terminate,,,4k
English,terminated,terminate,,4k
English,terminates,terminate,,4k
English,terminating,terminate,,4k
English,termination,terminate,,4k
English,terminations,terminate,,4k
English,terminator,terminate,,4k
English,terminators,terminate,,4k
English,terrace,,,4k
English,terraced,terrace,,4k
English,terraces,terrace,,4k
English,terracing,terrace,,4k
English,terrify,,,4k
English,terrified,terrify,,4k
English,terrifies,terrify,,4k
English,terrifying,terrify,,4k
English,terrifyingly,terrify,,4k
English,testament,,,4k
English,testamentary,testament,,4k
English,testaments,testament,,4k
English,testimony,,,4k
English,testimonies,testimony,,4k
English,textile,,,4k
English,textiles,textile,,4k
English,texture,,,4k
English,textural,texture,,4k
English,textured,texture,,4k
English,textures,texture,,4k
English,texturing,texture,,4k
English,untextured,texture,,4k
English,theft,,,4k
English,thefts,theft,,4k
English,theology,,,4k
English,theologies,theology,,4k
English,thesis,,,4k
English,antitheses,thesis,,4k
English,antithesis,thesis,,4k
English,theses,thesis,,4k
English,thigh,,,4k
English,thighs,thigh,,4k
English,thou,,,4k
English,tha,thou,,4k
English,thee,thou,,4k
English,thi,thou,,4k
English,thine,thou,,4k
English,thy,thou,,4k
English,thyself,thou,,4k
English,thread,,,4k
English,threaded,thread,,4k
English,threading,thread,,4k
English,threads,thread,,4k
English,threshold,,,4k
English,thresholds,threshold,,4k
English,thrive,,,4k
English,thrived,thrive,,4k
English,thrives,thrive,,4k
English,thriving,thrive,,4k
English,thrust,,,4k
English,thrusted,thrust,,4k
English,thrusting,thrust,,4k
English,thrustings,thrust,,4k
English,thrusts,thrust,,4k
English,thumb,,,4k
English,thumbed,thumb,,4k
English,thumbing,thumb,,4k
English,thumbings,thumb,,4k
English,thumbs,thumb,,4k
English,thunder,,,4k
English,thundered,thunder,,4k
English,thundering,thunder,,4k
English,thunderous,thunder,,4k
English,thunderously,thunder,,4k
English,thunders,thunder,,4k
English,thundery,thunder,,4k
English,tick,,,4k
English,ticked,tick,,4k
English,ticker,tick,,4k
English,tickers,tick,,4k
English,ticking,tick,,4k
English,ticks,tick,,4k
English,tiger,,,4k
English,tigers,tiger,,4k
English,tigress,tiger,,4k
English,tigresses,tiger,,4k
English,tile,,,4k
English,tiled,tile,,4k
English,tiler,tile,,4k
English,tilers,tile,,4k
English,tiles,tile,,4k
English,tiling,tile,,4k
English,tilt,,,4k
English,tilted,tilt,,4k
English,tilting,tilt,,4k
English,tilts,tilt,,4k
English,timber,,,4k
English,timbered,timber,,4k
English,timbering,timber,,4k
English,timbers,timber,,4k
English,tobacco,,,4k
English,baccy,tobacco,,4k
English,tobacconist,tobacco,,4k
English,tobacconists,tobacco,,4k
English,tobaccos,tobacco,,4k
English,tolerate,,,4k
English,tolerated,tolerate,,4k
English,tolerates,tolerate,,4k
English,tolerating,tolerate,,4k
English,toleration,tolerate,,4k
English,torture,,,4k
English,tortured,torture,,4k
English,torturer,torture,,4k
English,torturers,torture,,4k
English,tortures,torture,,4k
English,torturing,torture,,4k
English,toxic,,,4k
English,nontoxic,toxic,,4k
English,toxicities,toxic,,4k
English,toxicity,toxic,,4k
English,tragic,,,4k
English,tragically,tragic,,4k
English,trait,,,4k
English,traits,trait,,4k
English,transcript,,,4k
English,transcription,transcript,,4k
English,transcriptional,transcript,,4k
English,transcriptions,transcript,,4k
English,transcripts,transcript,,4k
English,transplant,,,4k
English,transplantation,transplant,,4k
English,transplantations,transplant,,4k
English,transplanted,transplant,,4k
English,transplanting,transplant,,4k
English,transplants,transplant,,4k
English,trauma,,,4k
English,traumas,trauma,,4k
English,traumatic,trauma,,4k
English,traumatically,trauma,,4k
English,tremble,,,4k
English,trembled,tremble,,4k
English,trembles,tremble,,4k
English,trembling,tremble,,4k
English,triangle,,,4k
English,triangles,triangle,,4k
English,triangular,triangle,,4k
English,tribunal,,,4k
English,tribunals,tribunal,,4k
English,tribute,,,4k
English,tributaries,tribute,,4k
English,tributary,tribute,,4k
English,tributes,tribute,,4k
English,trim,,,4k
English,trimmed,trim,,4k
English,trimmer,trim,,4k
English,trimmers,trim,,4k
English,trimming,trim,,4k
English,trimmings,trim,,4k
English,trims,trim,,4k
English,trophy,,,4k
English,trophies,trophy,,4k
English,tropics,,,4k
English,subtropical,tropics,,4k
English,tropic,tropics,,4k
English,tropical,tropics,,4k
English,tropically,tropics,,4k
English,trousers,,,4k
English,trouser,trousers,,4k
English,trousered,trousers,,4k
English,trustee,,,4k
English,trustees,trustee,,4k
English,trusteeship,trustee,,4k
English,trusteeships,trustee,,4k
English,tuck,,,4k
English,tucked,tuck,,4k
English,tucking,tuck,,4k
English,tucks,tuck,,4k
English,untucked,tuck,,4k
English,tug,,,4k
English,tugged,tug,,4k
English,tugging,tug,,4k
English,tugs,tug,,4k
English,tumble,,,4k
English,tumbled,tumble,,4k
English,tumbler,tumble,,4k
English,tumblers,tumble,,4k
English,tumbles,tumble,,4k
English,tumbling,tumble,,4k
English,tumour,,,4k
English,tumor,tumour,,4k
English,tumors,tumour,,4k
English,tumours,tumour,,4k
English,turnover,,,4k
English,turnovers,turnover,,4k
English,tutor,,,4k
English,tutored,tutor,,4k
English,tutorial,tutor,,4k
English,tutorials,tutor,,4k
English,tutoring,tutor,,4k
English,tutors,tutor,,4k
English,untutored,tutor,,4k
English,undermine,,,4k
English,undermined,undermine,,4k
English,undermines,undermine,,4k
English,undermining,undermine,,4k
English,unify,,,4k
English,reunification,unify,,4k
English,reunifications,unify,,4k
English,reunified,unify,,4k
English,reunifies,unify,,4k
English,reunify,unify,,4k
English,reunifying,unify,,4k
English,unification,unify,,4k
English,unified,unify,,4k
English,unifies,unify,,4k
English,unifying,unify,,4k
English,upgrade,,,4k
English,upgraded,upgrade,,4k
English,upgrades,upgrade,,4k
English,upgrading,upgrade,,4k
English,upwards,,,4k
English,upward,upwards,,4k
English,upwardly,upwards,,4k
English,utilise,,,4k
English,utilisation,utilise,,4k
English,utilised,utilise,,4k
English,utiliser,utilise,,4k
English,utilisers,utilise,,4k
English,utilises,utilise,,4k
English,utilising,utilise,,4k
English,utilization,utilise,,4k
English,utilize,utilise,,4k
English,utilized,utilise,,4k
English,utilizer,utilise,,4k
English,utilizers,utilise,,4k
English,utilizes,utilise,,4k
English,utilizing,utilise,,4k
English,utter,,,4k
English,unutterable,utter,,4k
English,unutterably,utter,,4k
English,unuttered,utter,,4k
English,utterance,utter,,4k
English,utterances,utter,,4k
English,uttered,utter,,4k
English,uttering,utter,,4k
English,utters,utter,,4k
English,validate,,,4k
English,invalidate,validate,,4k
English,invalidated,validate,,4k
English,invalidates,validate,,4k
English,invalidating,validate,,4k
English,validated,validate,,4k
English,validates,validate,,4k
English,validating,validate,,4k
English,validation,validate,,4k
English,validations,validate,,4k
English,vanish,,,4k
English,vanished,vanish,,4k
English,vanishes,vanish,,4k
English,vanishing,vanish,,4k
English,vanishingly,vanish,,4k
English,veil,,,4k
English,unveil,veil,,4k
English,unveiled,veil,,4k
English,unveiling,veil,,4k
English,unveils,veil,,4k
English,veiled,veil,,4k
English,veiling,veil,,4k
English,veilless,veil,,4k
English,veils,veil,,4k
English,vein,,,4k
English,veined,vein,,4k
English,veins,vein,,4k
English,vendor,,,4k
English,vendors,vendor,,4k
English,venue,,,4k
English,venues,venue,,4k
English,verbal,,,4k
English,nonverbal,verbal,,4k
English,verbalisation,verbal,,4k
English,verbalise,verbal,,4k
English,verbalised,verbal,,4k
English,verbalises,verbal,,4k
English,verbalising,verbal,,4k
English,verbalization,verbal,,4k
English,verbalize,verbal,,4k
English,verbalized,verbal,,4k
English,verbalizes,verbal,,4k
English,verbalizing,verbal,,4k
English,verbally,verbal,,4k
English,verbals,verbal,,4k
English,verdict,,,4k
English,verdicts,verdict,,4k
English,verify,,,4k
English,verifiable,verify,,4k
English,verification,verify,,4k
English,verifications,verify,,4k
English,verified,verify,,4k
English,verifier,verify,,4k
English,verifiers,verify,,4k
English,verifies,verify,,4k
English,verifying,verify,,4k
English,verse,,,4k
English,versed,verse,,4k
English,verses,verse,,4k
English,versification,verse,,4k
English,versified,verse,,4k
English,versify,verse,,4k
English,versifying,verse,,4k
English,vertical,,,4k
English,vertically,vertical,,4k
English,verticals,vertical,,4k
English,veterinarian,,,4k
English,vet,veterinarian,,4k
English,veterinarians,veterinarian,,4k
English,veterinary,veterinarian,,4k
English,vets,veterinarian,,4k
English,viable,,,4k
English,nonviable,viable,,4k
English,viabilities,viable,,4k
English,viability,viable,,4k
English,vibrate,,,4k
English,vibrated,vibrate,,4k
English,vibrates,vibrate,,4k
English,vibrating,vibrate,,4k
English,vibration,vibrate,,4k
English,vibrational,vibrate,,4k
English,vibrations,vibrate,,4k
English,vibrator,vibrate,,4k
English,vibrators,vibrate,,4k
English,vibratory,vibrate,,4k
English,vigorous,,,4k
English,vigor,vigorous,,4k
English,vigorously,vigorous,,4k
English,vigour,vigorous,,4k
English,villa,,,4k
English,villas,villa,,4k
English,virgin,,,4k
English,virginal,virgin,,4k
English,virginity,virgin,,4k
English,virgins,virgin,,4k
English,vitamin,,,4k
English,vitamins,vitamin,,4k
English,vivid,,,4k
English,vividly,vivid,,4k
English,vividness,vivid,,4k
English,vocal,,,4k
English,nonvocal,vocal,,4k
English,vocalisation,vocal,,4k
English,vocalise,vocal,,4k
English,vocalised,vocal,,4k
English,vocalises,vocal,,4k
English,vocalising,vocal,,4k
English,vocalist,vocal,,4k
English,vocalists,vocal,,4k
English,vocalization,vocal,,4k
English,vocalize,vocal,,4k
English,vocalized,vocal,,4k
English,vocalizes,vocal,,4k
English,vocalizing,vocal,,4k
English,vocally,vocal,,4k
English,vocals,vocal,,4k
English,vocation,,,4k
English,nonvocational,vocation,,4k
English,vocational,vocation,,4k
English,vocationally,vocation,,4k
English,vocations,vocation,,4k
English,volcano,,,4k
English,volcanic,volcano,,4k
English,volcanism,volcano,,4k
English,volcanoes,volcano,,4k
English,volcanos,volcano,,4k
English,wagon,,,4k
English,waggon,wagon,,4k
English,waggoner,wagon,,4k
English,waggoners,wagon,,4k
English,waggons,wagon,,4k
English,wagons,wagon,,4k
English,waist,,,4k
English,waisted,waist,,4k
English,waists,waist,,4k
English,waiter,,,4k
English,waiters,waiter,,4k
English,waitress,waiter,,4k
English,waitresses,waiter,,4k
English,wan,,,4k
English,wanly,wan,,4k
English,wanness,wan,,4k
English,ward,,,4k
English,wards,ward,,4k
English,wardship,ward,,4k
English,wardships,ward,,4k
English,warehouse,,,4k
English,warehoused,warehouse,,4k
English,warehouses,warehouse,,4k
English,warehousing,warehouse,,4k
English,warrant,,,4k
English,unwarranted,warrant,,4k
English,warranted,warrant,,4k
English,warranting,warrant,,4k
English,warrants,warrant,,4k
English,warrior,,,4k
English,warriors,warrior,,4k
English,wax,,,4k
English,unwaxed,wax,,4k
English,waxed,wax,,4k
English,waxen,wax,,4k
English,waxes,wax,,4k
English,waxier,wax,,4k
English,waxiest,wax,,4k
English,waxiness,wax,,4k
English,waxing,wax,,4k
English,waxy,wax,,4k
English,weary,,,4k
English,wearied,weary,,4k
English,wearier,weary,,4k
English,wearies,weary,,4k
English,weariest,weary,,4k
English,wearily,weary,,4k
English,weariness,weary,,4k
English,wearisome,weary,,4k
English,wearying,weary,,4k
English,webs,,,4k
English,webbed,webs,,4k
English,webbing,webs,,4k
English,webbings,webs,,4k
English,weep,,,4k
English,weeper,weep,,4k
English,weepers,weep,,4k
English,weeping,weep,,4k
English,weeps,weep,,4k
English,weepy,weep,,4k
English,wept,weep,,4k
English,wells,,,4k
English,welled,wells,,4k
English,welling,wells,,4k
English,whale,,,4k
English,whaled,whale,,4k
English,whaler,whale,,4k
English,whalers,whale,,4k
English,whales,whale,,4k
English,whaling,whale,,4k
English,whiskey,,,4k
English,whiskeys,whiskey,,4k
English,whiskies,whiskey,,4k
English,whisky,whiskey,,4k
English,widow,,,4k
English,widowed,widow,,4k
English,widower,widow,,4k
English,widowers,widow,,4k
English,widowhood,widow,,4k
English,widowhoods,widow,,4k
English,widows,widow,,4k
English,wit,,,4k
English,witless,wit,,4k
English,witlessly,wit,,4k
English,witlessness,wit,,4k
English,wits,wit,,4k
English,witted,wit,,4k
English,wittier,wit,,4k
English,wittiest,wit,,4k
English,wittily,wit,,4k
English,witty,wit,,4k
English,witticism,wit,,4k
English,worship,,,4k
English,worshipful,worship,,4k
English,worshipped,worship,,4k
English,worshiped,worship,,4k
English,worshipper,worship,,4k
English,worshippers,worship,,4k
English,worshiper,worship,,4k
English,worshipers,worship,,4k
English,worshipping,worship,,4k
English,worships,worship,,4k
English,wreck,,,4k
English,wreckage,wreck,,4k
English,wreckages,wreck,,4k
English,wrecked,wreck,,4k
English,wrecker,wreck,,4k
English,wreckers,wreck,,4k
English,wrecking,wreck,,4k
English,wrecks,wreck,,4k
English,wrist,,,4k
English,wrists,wrist,,4k
English,abbey,,,5k
English,abbeys,abbey,,5k
English,abdomen,,,5k
English,abdomens,abdomen,,5k
English,abdominal,abdomen,,5k
English,abolish,,,5k
English,abolished,abolish,,5k
English,abolishes,abolish,,5k
English,abolishing,abolish,,5k
English,accessory,,,5k
English,accessories,accessory,,5k
English,accessorise,accessory,,5k
English,accessorised,accessory,,5k
English,accessorises,accessory,,5k
English,accessorising,accessory,,5k
English,accessorize,accessory,,5k
English,accessorized,accessory,,5k
English,accessorizes,accessory,,5k
English,accessorizing,accessory,,5k
English,adore,,,5k
English,adorable,adore,,5k
English,adoration,adore,,5k
English,adored,adore,,5k
English,adorer,adore,,5k
English,adorers,adore,,5k
English,adores,adore,,5k
English,adoring,adore,,5k
English,adoringly,adore,,5k
English,advocacy,,,5k
English,advocacies,advocacy,,5k
English,aerial,,,5k
English,aerialist,aerial,,5k
English,aerialists,aerial,,5k
English,aerially,aerial,,5k
English,aerials,aerial,,5k
English,aftermath,,,5k
English,aftermaths,aftermath,,5k
English,aggravate,,,5k
English,aggravated,aggravate,,5k
English,aggravates,aggravate,,5k
English,aggravating,aggravate,,5k
English,aggravation,aggravate,,5k
English,aggravations,aggravate,,5k
English,aggro,aggravate,,5k
English,aggregate,,,5k
English,aggregated,aggregate,,5k
English,aggregates,aggregate,,5k
English,aggregating,aggregate,,5k
English,aggregation,aggregate,,5k
English,aggregations,aggregate,,5k
English,agitate,,,5k
English,agitated,agitate,,5k
English,agitatedly,agitate,,5k
English,agitates,agitate,,5k
English,agitating,agitate,,5k
English,agitation,agitate,,5k
English,agitations,agitate,,5k
English,agitator,agitate,,5k
English,agitators,agitate,,5k
English,aide,,,5k
English,aides,aide,,5k
English,ail,,,5k
English,ailing,ail,,5k
English,ailment,ail,,5k
English,ailments,ail,,5k
English,ails,ail,,5k
English,airways,,,5k
English,airway,airways,,5k
English,aisle,,,5k
English,aisled,aisle,,5k
English,aisles,aisle,,5k
English,albeit,,,5k
English,algorithm,,,5k
English,algorithms,algorithm,,5k
English,allegiance,,,5k
English,allegiances,allegiance,,5k
English,allergy,,,5k
English,allergenic,allergy,,5k
English,allergic,allergy,,5k
English,allergically,allergy,,5k
English,allergies,allergy,,5k
English,allergist,allergy,,5k
English,allergists,allergy,,5k
English,nonallergic,allergy,,5k
English,aloud,,,5k
English,altar,,,5k
English,altars,altar,,5k
English,altitude,,,5k
English,altitudes,altitude,,5k
English,ambiguity,,,5k
English,ambiguities,ambiguity,,5k
English,ammunition,,,5k
English,ammo,ammunition,,5k
English,ammunitions,ammunition,,5k
English,amnesty,,,5k
English,amnesties,amnesty,,5k
English,ample,,,5k
English,amply,ample,,5k
English,amplify,,,5k
English,amplification,amplify,,5k
English,amplifications,amplify,,5k
English,amplified,amplify,,5k
English,amplifier,amplify,,5k
English,amplifiers,amplify,,5k
English,amplifies,amplify,,5k
English,amplifying,amplify,,5k
English,analogy,,,5k
English,analogical,analogy,,5k
English,analogies,analogy,,5k
English,analogise,analogy,,5k
English,analogised,analogy,,5k
English,analogises,analogy,,5k
English,analogising,analogy,,5k
English,analogize,analogy,,5k
English,analogized,analogy,,5k
English,analogizes,analogy,,5k
English,analogizing,analogy,,5k
English,analytic,,,5k
English,analytical,analytic,,5k
English,analytically,analytic,,5k
English,anatomy,,,5k
English,anatomical,anatomy,,5k
English,anatomically,anatomy,,5k
English,anatomies,anatomy,,5k
